Gene Set Name	Description	No.Genes in Overlap (k)	No.query genes after removing redundancy	Category	No.Genes of this gene set	Overlap Genes	p value	FDR
SPL14_COL_A	SPL14_col_a(AT1G20980) Target genes predicted by DAP-seq	37	736	TFT	2263	AT4G36130//AT3G10610//AT4G37910//AT3G61630//AT1G18080//AT5G22320//AT2G39990//AT5G04150//AT1G26470//AT1G47490//AT1G52315//AT2G03550//AT4G19130//AT3G28500//AT5G61770//AT3G05030//AT1G29965//AT5G46160//AT3G57940//AT1G73680//AT1G29720//AT3G55510//AT3G16650//AT4G23540//AT2G15000//AT2G36070//AT3G20300//AT1G79470//AT5G66400//AT3G53630//AT4G29200//AT4G02820//AT4G04940//AT4G15730//AT1G07430//AT1G75240//AT5G60260	0.998939522401366	1
WRKY14_COL_A	WRKY14_col_a(AT1G30650) Target genes predicted by DAP-seq	73	736	TFT	3937	AT5G13940//AT1G10490//AT5G55510//AT4G27640//AT5G25800//AT2G22490//AT1G74060//AT4G32400//AT3G62120//AT3G57350//AT3G27740//AT5G61880//AT5G39850//AT5G19300//AT1G18850//AT3G19210//AT3G21540//AT5G17270//AT3G20440//AT1G26470//AT1G47490//AT3G24780//AT3G60500//AT2G45670//AT3G55280//AT5G41660//AT4G30150//AT4G31160//AT1G51310//AT5G25754//AT1G70160//AT3G12390//AT3G07750//AT4G35490//AT1G09620//AT1G29900//AT3G04770//AT1G55040//AT5G14520//AT3G01600//AT1G73680//AT5G57030//AT4G16630//AT3G09720//AT5G49560//AT4G23540//AT1G17470//AT4G04670//AT5G52520//AT5G60250//AT4G28030//AT1G56110//AT3G17970//AT5G08180//AT2G40955//AT4G01860//AT1G71730//AT1G24148//AT5G08540//AT2G44120//AT4G25740//AT1G47500//AT5G03390//AT3G55690//AT5G37130//AT5G60360//AT3G49140//AT5G35910//AT1G52930//AT5G63890//AT1G25350//AT3G02790//AT4G00620	0.999072311467941	1
MERISTEM_DEVELOPMENT	GO:0048507   meristem development,    GOslim:biological_process	15	736	BP	488	AT4G01560//AT2G06990//AT3G49240//AT1G49540//AT3G55510//AT4G28200//AT2G03710//AT3G57290//AT4G31160//AT5G16750//AT1G79950//AT1G25350//AT4G07410//AT5G17270//AT4G27010	0.276255905299241	1
NUCLEAR_LUMEN	GO:0031981   nuclear lumen,    GOslim:cellular_component	89	736	CC	463	AT1G72440//AT2G40030//AT3G09500//AT1G60850//AT1G07920//AT5G54910//AT1G18850//AT3G21540//AT2G36170//AT5G25230//AT2G04390//AT1G09760//AT5G16750//AT3G18600//AT5G52470//AT1G63780//AT5G22650//AT2G37990//AT4G09800//AT1G56110//AT5G16130//AT5G02870//AT5G27620//AT3G05060//AT1G72320//AT3G18610//AT2G44120//AT5G03740//AT3G51800//AT5G04600//AT3G57150//AT2G18020//AT5G35530//AT2G45710//AT2G44860//AT1G48920//AT5G67240//AT4G25630//AT1G43170//AT2G47610//AT3G16810//AT5G58420//AT3G55620//AT4G12600//AT1G17690//AT5G40200//AT5G55920//AT3G56990//AT5G66540//AT2G17250//AT5G40770//AT2G27840//AT1G74060//AT5G22440//AT3G44750//AT4G05410//AT3G49660//AT3G03920//AT4G26600//AT5G48240//AT2G47990//AT5G27120//AT3G09630//AT2G41840//AT3G58660//AT4G31700//AT1G20140//AT2G44510//AT1G15440//AT3G22320//AT3G23620//AT5G09510//AT3G09680//AT5G20290//AT5G15550//AT3G04920//AT2G29540//AT1G26880//AT3G49010//AT4G25340//AT3G62310//AT1G80750//AT4G32720//AT2G20490//AT5G08180//AT3G11964//AT5G39740//AT5G20160//AT3G13470	1.18501890025737e-45	7.65713217207258e-43
ARF2_COL_V31	ARF2_col_v31(AT5G62000) Target genes predicted by DAP-seq	197	736	TFT	9252	AT1G64660//AT2G38195//AT5G60990//AT2G39020//AT1G49760//AT5G45140//AT3G27180//AT1G51310//AT5G42540//AT4G01037//AT1G51380//AT4G31160//AT4G15850//AT5G25230//AT3G28270//AT4G18905//AT1G03910//AT5G47650//AT5G16750//AT3G06530//AT4G25730//AT5G20600//AT4G37925//AT2G19385//AT5G22650//AT2G40510//AT3G04770//AT3G56150//AT4G36580//AT1G36180//AT5G15750//AT4G09800//AT4G13150//AT5G39840//AT5G57050//AT3G23940//AT1G28530//AT4G02220//AT4G07410//AT3G27710//AT1G74270//AT4G02820//AT1G30580//AT1G73700//AT4G27010//AT2G34357//AT1G64550//AT3G55690//AT3G56490//AT4G02930//AT5G17710//AT1G06560//AT5G27230//AT5G04600//AT3G61630//AT1G18080//AT3G01610//AT4G16630//AT1G79950//AT5G61880//AT2G20800//AT5G62370//AT5G14580//AT2G05160//AT2G24560//AT5G41660//AT5G44980//AT1G42440//AT4G25630//AT1G43170//AT2G47610//AT2G18900//AT5G64420//AT5G45570//AT5G46160//AT1G10500//AT5G37440//AT3G52140//AT4G11420//AT5G19510//AT3G55620//AT3G10530//AT1G77030//AT5G03090//AT4G32400//AT1G17690//AT1G60770//AT1G50920//AT2G10440//AT4G15730//AT2G20060//AT4G00620//AT5G51330//AT2G17250//AT3G03150//AT5G13280//AT3G26730//AT5G60260//AT5G25800//AT5G36900//AT2G27402//AT4G24830//AT1G48630//AT5G24280//AT1G74060//AT5G22440//AT3G12270//AT1G09640//AT4G29030//AT2G39990//AT3G60980//AT1G64220//AT2G21450//AT5G57890//AT2G40700//AT2G45670//AT4G30150//AT3G49660//AT5G60250//AT5G56810//AT4G39040//AT1G30160//AT3G20300//AT5G23710//AT1G11070//AT4G13750//AT1G49540//AT2G39390//AT3G60500//AT3G09630//AT5G41190//AT4G10620//AT2G47790//AT3G20050//AT5G52520//AT1G71770//AT2G31660//AT3G02760//AT5G11840//AT4G21490//AT3G58470//AT2G19670//AT3G03060//AT3G51750//AT3G16840//AT1G75240//AT1G67120//AT2G44510//AT3G06200//AT5G55510//AT3G23620//AT5G04150//AT3G19210//AT3G20330//AT3G55160//AT2G34750//AT1G26470//AT4G32510//AT2G06420//AT2G39670//AT4G26600//AT2G40450//AT1G73490//AT3G12670//AT4G19130//AT3G45430//AT3G11410//AT1G08610//AT5G52650//AT2G37990//AT5G62440//AT1G26880//AT5G13830//AT3G25940//AT4G25340//AT3G56070//AT4G13170//AT4G23540//AT1G17880//AT3G55510//AT2G39850//AT3G12080//AT5G48120//AT4G00930//AT4G19210//AT2G25625//AT5G08180//AT3G58660//AT5G20160//AT1G26630//AT5G37490//AT1G08190//AT1G30170//AT1G64600//AT4G14000//AT5G10240//AT3G55280	0.999258745298013	1
CYTOPLASMIC_RIBOSOMAL_PROTEIN_GENE_FAMILY_L7	Cytoplasmic ribosomal protein gene family ,L7	3	736	OTH	4	AT2G44120//AT1G80750//AT3G13580	0.0005016643462027	0.0429884338965171
SHOOT_MORPHOGENESIS	GO:0010016   shoot morphogenesis,    GOslim:biological_process	14	736	BP	523	AT5G16750//AT5G42030//AT5G55920//AT2G35500//AT5G39740//AT3G47450//AT5G57030//AT4G29030//AT4G31160//AT1G32550//AT1G05680//AT4G34740//AT1G75240//AT2G06990	0.470957416300094	1
RESPONSE_TO_MICROBIAL_PHYTOTOXIN	GO:0010188   response to microbial phytotoxin,    GOslim:biological_process	1	736	BP	6	AT5G42980	0.162061900314213	1
CYTOPLASMIC_RIBOSOMAL_PROTEIN_GENE_FAMILY_L6	Cytoplasmic ribosomal protein gene family ,L6	3	736	OTH	3	AT1G18540//AT1G74060//AT1G74050	0.000292086764491384	0.0257682649757688
AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS	GO:0009074   aromatic amino acid family catabolic process,    GOslim:biological_process	2	736	BP	86	AT4G28030//AT5G46790	0.648255862839162	1
NEGATIVE_REGULATION_OF_CYCLIN-DEPENDENT_PROTEIN_KINASE_ACTIVITY	GO:0045736   negative regulation of cyclin-dependent protein kinase activity,    GOslim:biological_process	2	736	BP	27	AT2G22490//AT5G27620	0.162615284254429	1
DNA-DEPENDENT_ATPASE_ACTIVITY	GO:0008094   DNA-dependent ATPase activity,    GOslim:molecular_function	4	736	MF	50	AT2G45280//AT5G41360//AT1G30680//AT1G79950	0.0455313747595695	1
CYTOPLASMIC_RIBOSOMAL_PROTEIN_GENE_FAMILY_L5	Cytoplasmic ribosomal protein gene family ,L5	1	736	OTH	3	AT5G39740	0.0960937982473294	1
GTP_BINDING	GO:0005525   GTP binding,    GOslim:molecular_function	19	736	MF	266	AT5G18570//AT1G08410//AT1G50920//AT5G25230//AT1G06720//AT1G07940//AT1G30960//AT1G52980//AT3G47450//AT1G07930//AT1G30580//AT2G18720//AT1G04170//AT1G17470//AT4G10620//AT3G12080//AT1G07920//AT5G58370//AT4G02930	0.000111615706462377	0.0104238448278303
SINGLE-STRANDED_RNA_BINDING	GO:0003727   single-stranded RNA binding,    GOslim:molecular_function	4	736	MF	40	AT1G71280//AT1G47500//AT1G47490//AT1G71770	0.023689582667675	1
TRYPTOPHAN_CATABOLIC_PROCESS	GO:0006569   tryptophan catabolic process,    GOslim:biological_process	2	736	BP	79	AT4G28030//AT5G46790	0.60323746987203	1
GLUTAMINE-TRNA_LIGASE_ACTIVITY	GO:0004819   glutamine-tRNA ligase activity,    GOslim:molecular_function	1	736	MF	2	AT1G25350	0.0729714930725073	1
GLUCOSINOLATE_BIOSYNTHESIS_FROM_HEXAHOMOMETHIONINE	glucosinolate biosynthesis from hexahomomethionine	1	736	Cyc	14	AT1G62540	0.315408414861951	1
PROTEIN_LOCALIZATION_TO_MITOCHONDRION	GO:0070585   protein localization to mitochondrion,    GOslim:biological_process	34	736	BP	106	AT3G20000//AT5G23250//AT5G24840//AT3G22320//AT4G22720//AT5G19300//AT1G18850//AT3G57000//AT1G26470//AT4G35490//AT4G15850//AT3G26410//AT3G23990//AT1G61570//AT3G07750//AT2G37990//AT2G19385//AT4G01560//AT5G41970//AT5G15750//AT4G28200//AT3G22660//AT1G14060//AT2G40700//AT2G36070//AT1G79470//AT2G45280//AT5G06550//AT4G15770//AT3G46210//AT5G15550//AT2G17670//AT5G40770//AT1G27390	4.87397190112436e-24	1.38370722485706e-21
CYCLIN-DEPENDENT_PROTEIN_KINASE_REGULATOR_ACTIVITY	GO:0016538   cyclin-dependent protein kinase regulator activity,    GOslim:molecular_function	1	736	MF	34	AT2G22490	0.587071294234483	1
POST-EMBRYONIC_ROOT_MORPHOGENESIS	GO:0010101   post-embryonic root morphogenesis,    GOslim:biological_process	3	736	BP	48	AT1G74560//AT1G18800//AT4G07410	0.134211952790532	1
CARBAMOYL_PHOSPHATE_BIOSYNTHETIC_PROCESS	GO:0070409   carbamoyl phosphate biosynthetic process,    GOslim:biological_process	1	736	BP	1	AT3G27740	0.0492585336626916	1
REGULATION_OF_CELL_COMMUNICATION	GO:0010646   regulation of cell communication,    GOslim:biological_process	3	736	BP	171	AT1G07430//AT3G11410//AT5G57050	0.812009900276556	1
POSITIVE_REGULATION_OF_TRANSLATIONAL_ELONGATION	GO:0045901   positive regulation of translational elongation,    GOslim:biological_process	1	736	BP	3	AT1G26630	0.0960937982473294	1
ADAXIAL/ABAXIAL_AXIS_SPECIFICATION	GO:0009943   adaxial/abaxial axis specification,    GOslim:biological_process	2	736	BP	81	AT5G22650//AT3G44750	0.616529603236857	1
EXTRINSIC_TO_MEMBRANE	GO:0019898   extrinsic to membrane,    GOslim:cellular_component	8	736	CC	104	AT4G28450//AT5G15550//AT1G18080//AT3G49660//AT3G49180//AT2G34260//AT2G20800//AT3G21540	0.00707149790942433	0.433500298538733
CARBON-OXYGEN_LYASE_ACTIVITY	GO:0016835   carbon-oxygen lyase activity,    GOslim:molecular_function	4	736	MF	150	AT3G23940//AT3G07630//AT3G60880//AT3G03630	0.537406907304538	1
ATHB6_COL_A	ATHB6_col_a(AT2G22430) Target genes predicted by DAP-seq	184	736	TFT	7960	AT2G38195//AT1G03360//AT3G56340//AT5G47455//AT1G03400//AT5G45140//AT2G34260//AT1G51310//AT1G18850//AT1G28395//AT1G73230//AT3G21540//AT5G42540//AT2G36170//AT2G40700//AT4G15850//AT5G25230//AT3G28500//AT3G58270//AT4G37090//AT3G12390//AT5G16750//AT1G29940//AT5G67220//AT3G28070//AT4G30990//AT3G56150//AT1G02060//AT1G72370//AT1G36180//AT4G27490//AT2G37990//AT3G55510//AT2G22490//AT4G37380//AT1G07920//AT5G57050//AT1G56110//AT3G02200//AT3G03341//AT4G02820//AT1G30580//AT2G18720//AT4G19210//AT3G48250//AT3G49140//AT2G34357//AT1G72320//AT5G40770//AT4G02930//AT2G41840//AT5G24840//AT5G11270//AT4G39040//AT2G18020//AT1G27470//AT3G01345//AT5G62370//AT5G27620//AT2G44860//AT4G35490//AT2G16570//AT4G25740//AT1G50920//AT2G03550//AT1G42440//AT4G25630//AT2G42720//AT5G08620//AT2G06990//AT5G46160//AT5G58130//AT4G16180//AT1G68660//AT5G37440//AT3G52140//AT1G73680//AT3G13580//AT3G16650//AT3G51750//AT1G77030//AT1G30240//AT4G32400//AT1G17690//AT4G11211//AT3G19440//AT1G23410//AT4G31810//AT2G35240//AT2G29200//AT3G62310//AT1G49920//AT5G52820//AT3G26730//AT3G62940//AT2G40010//AT5G20890//AT4G24830//AT1G03910//AT5G24280//AT4G29200//AT4G10450//AT1G32580//AT2G39990//AT1G05680//AT2G17670//AT1G15930//AT2G21450//AT1G47820//AT3G16780//AT1G20370//AT2G45670//AT3G23480//AT3G23990//AT4G30150//AT1G09640//AT1G32550//AT2G39390//AT2G40570//AT1G70160//AT2G40360//AT1G63660//AT3G60500//AT2G47790//AT1G57720//AT5G52520//AT2G36070//AT2G25640//AT4G17840//AT1G48400//AT3G58660//AT3G11940//AT3G03060//AT4G04940//AT1G79150//AT1G04170//AT3G16840//AT1G75240//AT3G57940//AT1G67120//AT3G22120//AT5G04150//AT3G23620//AT3G54090//AT5G23250//AT5G30490//AT1G47920//AT3G20440//AT1G20400//AT5G46430//AT4G04030//AT4G32510//AT5G15550//AT3G04920//AT1G10490//AT5G42030//AT2G39670//AT4G37980//AT1G13160//AT1G14610//AT1G08610//AT2G29540//AT3G05030//AT4G34740//AT1G74270//AT5G45095//AT5G14520//AT3G30770//AT1G08910//AT4G01860//AT1G01250//AT4G23540//AT2G20585//AT1G27400//AT2G39850//AT3G12080//AT5G48120//AT2G37270//AT3G11964//AT3G06930//AT1G26630//AT5G39840//AT5G10240//AT1G17960	0.950351902557799	1
PROTEIN_DISULFIDE_OXIDOREDUCTASE_ACTIVITY	GO:0015035   protein disulfide oxidoreductase activity,    GOslim:molecular_function	1	736	MF	94	AT5G42980	0.909572761497808	1
IDD4_COL_A	IDD4_col_a(AT2G02080) Target genes predicted by DAP-seq	179	736	TFT	9357	AT1G64660//AT2G40030//AT1G60850//AT5G47650//AT2G33380//AT3G27180//AT5G39850//AT1G28395//AT3G57660//AT5G42540//AT1G32550//AT2G36170//AT5G25230//AT1G03910//AT3G58270//AT1G09760//AT5G47930//AT4G37090//AT3G12390//AT2G46280//AT3G11400//AT5G60670//AT1G57720//AT2G40430//AT4G29410//AT5G30490//AT4G36580//AT4G27490//AT4G09800//AT5G62440//AT5G08600//AT5G39840//AT4G38810//AT4G04670//AT5G57050//AT3G23940//AT1G56110//AT4G02220//AT2G24120//AT2G43650//AT5G15420//AT5G41765//AT2G21640//AT5G27620//AT5G37130//AT5G60360//AT2G34357//AT3G24830//AT1G77940//AT5G46790//AT5G40770//AT4G02930//AT3G10610//AT4G39040//AT5G27120//AT4G16630//AT3G03630//AT5G35530//AT5G14490//AT3G57000//AT2G44860//AT1G47490//AT5G14580//AT5G37440//AT2G05160//AT1G77550//AT3G27620//AT5G67240//AT1G42440//AT4G24480//AT2G42720//AT3G15640//AT4G10480//AT5G15610//AT5G58130//AT4G29510//AT1G73680//AT5G18570//AT2G18220//AT3G10530//AT2G18110//AT5G01445//AT4G24280//AT4G11211//AT4G02400//AT1G60770//AT5G27640//AT2G10440//AT3G13882//AT4G15730//AT5G66540//AT3G56490//AT4G27640//AT1G09810//AT2G36930//AT3G22120//AT5G24280//AT1G63660//AT1G12250//AT1G05680//AT3G60980//AT5G57890//AT2G45670//AT2G05440//AT1G18540//AT5G16750//AT5G56810//AT1G29900//AT1G30160//AT4G21490//AT1G06670//AT5G48240//AT3G57940//AT3G11710//AT4G13750//AT2G04030//AT5G61770//AT3G60500//AT5G27330//AT3G54730//AT3G02080//AT4G28030//AT2G36070//AT2G05220//AT1G23280//AT1G71770//AT4G30990//AT2G19385//AT3G53630//AT2G19670//AT3G15460//AT4G04940//AT1G75240//AT1G67120//AT2G44510//AT5G39740//AT3G22320//AT3G54090//AT1G02750//AT1G80410//AT3G56570//AT3G55160//AT3G20440//AT5G62370//AT1G70440//AT1G08910//AT5G46430//AT3G04920//AT5G42030//AT3G27740//AT2G40450//AT3G12670//AT1G57660//AT3G02760//AT2G17360//AT1G13160//AT4G35490//AT5G52650//AT3G05030//AT5G64420//AT5G52820//AT4G25340//AT3G56070//AT4G13170//AT1G07930//AT1G30680//AT1G62390//AT1G80750//AT3G20300//AT1G79470//AT5G08180//AT3G11964//AT2G06420//AT4G31210//AT1G08190//AT2G23350//AT5G35910//AT3G26230//AT5G53860	0.99999938181051	1
HEXOSE_CATABOLIC_PROCESS	GO:0019320   hexose catabolic process,    GOslim:biological_process	15	736	BP	476	AT4G31180//AT3G15640//AT1G19150//AT1G18080//AT5G27470//AT5G39740//AT1G30580//AT1G26630//AT1G74560//AT5G60360//AT1G65230//AT1G32550//AT1G72370//AT1G64550//AT4G37910	0.247106447249163	1
MYB77_COL_A	MYB77_col_a(AT3G50060) Target genes predicted by DAP-seq	369	736	TFT	16474	AT1G72440//AT5G54910//AT5G28235//AT4G10620//AT4G29410//AT4G16720//AT1G02060//AT4G36580//AT3G45430//AT5G39840//AT3G23940//AT3G17970//AT5G58420//AT3G03341//AT2G35500//AT3G14700//AT1G30580//AT3G49140//AT1G72320//AT1G64550//AT4G00620//AT3G62940//AT5G19510//AT1G79950//AT5G61880//AT1G10450//AT3G57000//AT2G37690//AT2G24560//AT1G48920//AT4G24480//AT2G47610//AT3G56490//AT5G08620//AT1G73680//AT1G30240//AT4G11211//AT1G08410//AT5G55920//AT3G18140//AT3G56990//AT2G40010//AT5G60260//AT2G03130//AT5G13940//AT1G74060//AT3G44750//AT1G12250//AT5G19300//AT3G60980//AT2G21450//AT5G41360//AT4G08868//AT3G23480//AT4G30150//AT2G38310//AT3G63130//AT1G29900//AT1G11070//AT3G47450//AT1G57870//AT2G25640//AT5G14490//AT1G03110//AT3G16840//AT2G17670//AT5G17270//AT2G44510//AT3G23620//AT3G56150//AT1G63810//AT3G19210//AT3G20330//AT3G12860//AT1G52315//AT3G55160//AT2G13430//AT3G06680//AT2G24255//AT5G62440//AT2G35040//AT3G58700//AT1G62390//AT1G34030//AT5G48120//AT1G26630//AT1G07430//AT5G10240//AT5G25780//AT1G64660//AT5G60990//AT1G51380//AT1G80270//AT4G37980//AT2G19540//AT2G36170//AT4G15850//AT5G25230//AT1G09760//AT1G29940//AT1G57720//AT2G40430//AT5G11410//AT1G36180//AT1G29720//AT1G22960//AT4G37380//AT1G17470//AT1G28530//AT5G19820//AT1G64880//AT3G27710//AT5G14610//AT3G13940//AT3G48250//AT3G55690//AT3G10610//AT2G21640//AT3G01610//AT4G16630//AT1G27470//AT3G01345//AT5G51020//AT4G22720//AT1G80620//AT2G03820//AT5G14520//AT2G05160//AT3G27620//AT3G55280//AT5G23900//AT5G46160//AT1G03530//AT3G62310//AT5G27640//AT4G34265//AT5G03390//AT5G62270//AT5G65860//AT2G34570//AT2G23070//AT1G47820//AT4G28450//AT2G45670//AT5G23710//AT3G02790//AT5G60250//AT3G03920//AT3G05130//AT1G49540//AT2G37270//AT5G34869//AT3G20050//AT5G35760//AT2G21440//AT4G30990//AT1G24148//AT1G19150//AT3G53630//AT2G19670//AT3G15460//AT1G79150//AT1G04170//AT1G67120//AT3G22120//AT1G15440//AT3G49240//AT3G57350//AT5G04150//AT1G20400//AT4G04030//AT4G21900//AT4G32510//AT3G02560//AT3G04920//AT3G27740//AT5G06360//AT1G14610//AT1G08610//AT1G64050//AT5G45095//AT3G49010//AT4G01860//AT1G30680//AT1G80750//AT1G79470//AT5G56680//AT2G34900//AT3G06930//AT1G29395//AT1G30170//AT3G11250//AT1G49760//AT2G38195//AT1G03360//AT2G30770//AT4G25630//AT3G28270//AT1G32550//AT2G19385//AT3G04770//AT3G61780//AT5G30490//AT4G27490//AT5G16930//AT2G22490//AT5G08600//AT5G57050//AT3G27180//AT2G33840//AT3G02200//AT1G79190//AT2G28600//AT5G06550//AT5G02870//AT4G02820//AT2G18720//AT5G37130//AT5G60360//AT5G40770//AT1G06560//AT1G34315//AT3G57150//AT4G39040//AT5G53540//AT1G47490//AT2G03550//AT5G44980//AT1G42440//AT3G16810//AT2G18900//AT5G64420//AT5G15610//AT5G11310//AT1G10500//AT1G55040//AT1G78750//AT2G27402//AT5G40200//AT1G50920//AT2G10440//AT2G35240//AT3G29633//AT1G77030//AT5G25800//AT4G24830//AT1G03910//AT5G24280//AT4G05410//AT5G44320//AT1G64220//AT1G20370//AT3G23990//AT5G41765//AT1G30160//AT2G18193//AT3G57940//AT1G70160//AT4G13750//AT2G40360//AT5G09840//AT3G60500//AT2G47790//AT3G18600//AT5G51540//AT2G05220//AT5G11840//AT5G46790//AT3G51750//AT4G29030//AT1G62540//AT3G54090//AT1G26470//AT1G70440//AT1G08910//AT2G06420//AT2G39670//AT1G73490//AT2G19640//AT1G74560//AT5G06110//AT2G04030//AT4G34740//AT2G41190//AT3G19440//AT5G15810//AT1G01250//AT4G23540//AT3G26730//AT2G45280//AT5G37490//AT3G11410//AT3G47580//AT5G45140//AT2G16650//AT5G39850//AT5G44490//AT1G73230//AT3G57660//AT1G71280//AT4G31810//AT3G58270//AT4G37090//AT1G13160//AT3G06530//AT4G27390//AT2G24120//AT4G13150//AT2G19730//AT4G02220//AT5G15420//AT4G39300//AT5G27620//AT1G20220//AT4G24280//AT5G03740//AT5G17710//AT3G20000//AT5G27330//AT4G21770//AT5G62370//AT2G16570//AT3G26410//AT1G51310//AT4G07410//AT4G17840//AT3G55620//AT5G18570//AT2G18220//AT1G17690//AT1G49920//AT1G21400//AT5G11240//AT4G27640//AT5G05990//AT2G36930//AT4G29200//AT1G27510//AT2G39990//AT2G43110//AT2G20060//AT4G21490//AT5G48240//AT3G11710//AT5G41190//AT1G14810//AT3G22310//AT2G36070//AT4G02400//AT3G55010//AT3G03060//AT1G68660//AT3G12270//AT1G80410//AT1G71730//AT1G58380//AT1G10490//AT2G40450//AT4G19130//AT1G57660//AT1G03860//AT2G37990//AT5G52820//AT4G25340//AT1G48400//AT5G40490//AT1G64600//AT3G26230//AT1G17960	0.999945776792126	1
[MYELIN_BASIC_PROTEIN]-ARGININE_N-METHYLTRANSFERASE_ACTIVITY	GO:0016277   [myelin basic protein]-arginine N-methyltransferase activity,    GOslim:molecular_function	1	736	MF	3	AT3G06930	0.0960937982473294	1
AT5G47390_COL_B	At5g47390_col_b(AT5G47390) Target genes predicted by DAP-seq	267	736	TFT	12035	AT1G64660//AT1G64600//AT3G27550//AT1G60850//AT2G37990//AT1G48570//AT3G62120//AT2G33380//AT1G61570//AT5G39850//AT2G34260//AT1G18850//AT5G44490//AT2G34970//AT5G42540//AT2G24500//AT5G26270//AT5G40490//AT4G02400//AT5G25230//AT3G28270//AT5G28235//AT1G03910//AT1G03860//AT1G09760//AT5G25754//AT5G47650//AT1G32550//AT1G29940//AT5G60670//AT4G10620//AT3G28070//AT2G40430//AT4G29410//AT3G07430//AT4G30990//AT3G56150//AT4G36580//AT3G01600//AT4G09800//AT2G22490//AT3G05030//AT4G37380//AT1G17470//AT3G27180//AT5G19820//AT1G56110//AT5G53230//AT1G64880//AT2G43650//AT5G09330//AT2G35500//AT2G21640//AT1G30580//AT3G13940//AT5G37130//AT3G48250//AT1G31660//AT4G27010//AT1G25350//AT1G64550//AT4G00620//AT5G40770//AT4G02930//AT5G17710//AT1G06560//AT3G10610//AT3G51800//AT4G21140//AT5G04600//AT2G18180//AT4G39040//AT2G18020//AT4G16630//AT3G01345//AT4G39300//AT1G65230//AT5G53540//AT1G15790//AT5G27620//AT3G16780//AT2G24050//AT2G41840//AT2G03820//AT5G14580//AT2G05160//AT2G24560//AT5G41660//AT5G67240//AT1G42440//AT4G25630//AT2G42720//AT3G28500//AT2G47610//AT5G04150//AT5G02050//AT2G04070//AT4G17840//AT3G13230//AT4G16180//AT1G10500//AT4G29510//AT2G15000//AT1G73680//AT5G57030//AT4G28200//AT2G18110//AT3G51750//AT1G78750//AT1G30240//AT1G69070//AT1G17690//AT5G40200//AT3G13580//AT2G18900//AT4G38810//AT4G15000//AT2G16570//AT1G20220//AT3G55620//AT1G67120//AT3G18140//AT2G45670//AT5G66540//AT2G03710//AT3G29633//AT1G49920//AT4G18905//AT3G14600//AT3G48500//AT1G17880//AT1G08360//AT3G62940//AT5G60260//AT3G23990//AT5G36900//AT4G37910//AT3G26730//AT4G29030//AT5G24280//AT4G29200//AT5G22440//AT1G32580//AT2G39990//AT1G12250//AT1G05680//AT1G18800//AT5G27230//AT1G15930//AT2G21450//AT3G16310//AT4G28450//AT1G18540//AT1G20370//AT2G27840//AT4G08868//AT3G23480//AT3G49240//AT4G30150//AT2G04050//AT3G04600//AT5G60250//AT2G28000//AT2G39390//AT3G03920//AT3G06530//AT4G24480//AT1G06670//AT5G48240//AT2G40570//AT1G70160//AT1G11070//AT4G13750//AT2G40360//AT5G09840//AT1G49540//AT1G63660//AT3G60500//AT2G38310//AT3G07630//AT3G02080//AT4G05400//AT1G57720//AT5G52520//AT5G35760//AT4G28030//AT2G36070//AT2G05220//AT5G65850//AT2G31660//AT2G25640//AT3G54090//AT1G24148//AT1G17960//AT3G11964//AT2G04030//AT1G03110//AT1G32870//AT4G21770//AT3G60360//AT1G04170//AT1G75240//AT3G57940//AT3G02790//AT5G13940//AT5G39740//AT5G55510//AT3G21950//AT3G49410//AT1G06720//AT1G07940//AT3G22320//AT3G23620//AT3G57350//AT1G68990//AT1G63810//AT5G09510//AT5G23250//AT1G67865//AT3G20330//AT5G62370//AT4G04030//AT3G02560//AT1G58380//AT3G04920//AT1G10490//AT5G42030//AT4G37980//AT3G57290//AT1G74560//AT2G44120//AT3G11410//AT1G14610//AT2G40510//AT5G52650//AT2G29540//AT5G62440//AT4G34740//AT1G29965//AT3G16810//AT5G45095//AT3G62460//AT3G56070//AT4G13170//AT5G23300//AT5G15810//AT1G01250//AT3G58700//AT3G55510//AT4G01037//AT3G03630//AT1G22780//AT2G06420//AT1G47500//AT5G20160//AT1G26630//AT3G61100//AT1G08190//AT5G06360//AT2G23350//AT5G35910//AT1G07430//AT2G20060//AT1G02870//AT3G55280//AT3G47580//AT5G53860	0.998935666233907	1
